Name,Link
Pau Victor Delgado,https://fbref.com/en/players/e6e7c819/Pau-Victor-Delgado
Áron Yaakobishvili,https://fbref.com/en/players/0b8c9180/Aron-Yaakobishvili
Virgil van Dijk,https://fbref.com/en/players/e06683ca/Virgil-van-Dijk
Luis Díaz,https://fbref.com/en/players/4a1a9578/Luis-Diaz
Alexis Mac Allister,https://fbref.com/en/players/83d074ff/Alexis-Mac-Allister
Mohamed Salah,https://fbref.com/en/players/e342ad68/Mohamed-Salah
Alisson,https://fbref.com/en/players/7a2e46a8/Alisson
Trent Alexander-Arnold,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold
Dominik Szoboszlai,https://fbref.com/en/players/934e1968/Dominik-Szoboszlai
Darwin Núñez,https://fbref.com/en/players/4d77b365/Darwin-Nunez
Wataru Endo,https://fbref.com/en/players/c149016b/Wataru-Endo
Andrew Robertson,https://fbref.com/en/players/2e4f5f03/Andrew-Robertson
Joe Gomez,https://fbref.com/en/players/7a11550b/Joe-Gomez
Cody Gakpo,https://fbref.com/en/players/1971591f/Cody-Gakpo
Ibrahima Konaté,https://fbref.com/en/players/5ed9b537/Ibrahima-Konate
Curtis Jones,https://fbref.com/en/players/4fb9c88f/Curtis-Jones
Diogo Jota,https://fbref.com/en/players/178ae8f8/Diogo-Jota
Jarell Quansah,https://fbref.com/en/players/4125cb98/Jarell-Quansah
Ryan Gravenberch,https://fbref.com/en/players/b8e740fb/Ryan-Gravenberch
Harvey Elliott,https://fbref.com/en/players/b9e1436c/Harvey-Elliott
Caoimhín Kelleher,https://fbref.com/en/players/62d7ef38/Caoimhin-Kelleher
Conor Bradley,https://fbref.com/en/players/bbd67769/Conor-Bradley
Joël Matip,https://fbref.com/en/players/b217ef29/Joel-Matip
Kostas Tsimikas,https://fbref.com/en/players/f315ca93/Kostas-Tsimikas
Bobby Clark,https://fbref.com/en/players/73341ace/Bobby-Clark
Stefan Bajcetic,https://fbref.com/en/players/32e8417f/Stefan-Bajcetic
Ben Doak,https://fbref.com/en/players/733f1a7d/Ben-Doak
Jayden Danns,https://fbref.com/en/players/003cf4d1/Jayden-Danns
Owen Beck,https://fbref.com/en/players/a011a1e9/Owen-Beck
Thiago Alcántara,https://fbref.com/en/players/77e84962/Thiago-Alcantara
James McConnell,https://fbref.com/en/players/bf973eeb/James-McConnell
Kaide Gordon,https://fbref.com/en/players/19a9cb70/Kaide-Gordon
Adrián,https://fbref.com/en/players/f76e6b4e/Adrian
Luke Chambers,https://fbref.com/en/players/7d6af698/Luke-Chambers
Lewis Koumas,https://fbref.com/en/players/d77edba6/Lewis-Koumas
Fabian Mrozek,https://fbref.com/en/players/927eecf9/Fabian-Mrozek
Amara Nallo,https://fbref.com/en/players/398a24f6/Amara-Nallo
Trey Nyoni,https://fbref.com/en/players/1d3b3d77/Trey-Nyoni
Marcelo Pitaluga,https://fbref.com/en/players/b3cafda8/Marcelo-Pitaluga
Calum Scanlon,https://fbref.com/en/players/37739c71/Calum-Scanlon
Chris Führich,https://fbref.com/en/players/0cf778df/Chris-Fuhrich
Waldemar Anton,https://fbref.com/en/players/5e66fa06/Waldemar-Anton
Atakan Karazor,https://fbref.com/en/players/5762be5c/Atakan-Karazor
Alexander Nübel,https://fbref.com/en/players/afb0c500/Alexander-Nubel
Angelo Stiller,https://fbref.com/en/players/3b1ed320/Angelo-Stiller
Enzo Millot,https://fbref.com/en/players/f76022e7/Enzo-Millot
Hiroki Ito,https://fbref.com/en/players/204dded0/Hiroki-Ito
Serhou Guirassy,https://fbref.com/en/players/923f4dda/Serhou-Guirassy
Maximilian Mittelstädt,https://fbref.com/en/players/88d4144a/Maximilian-Mittelstadt
Deniz Undav,https://fbref.com/en/players/dd549382/Deniz-Undav
Jamie Leweling,https://fbref.com/en/players/13fe7b69/Jamie-Leweling
Dan-Axel Zagadou,https://fbref.com/en/players/a4effc55/Dan-Axel-Zagadou
Pascal Stenzel,https://fbref.com/en/players/99f7e9aa/Pascal-Stenzel
Josha Vagnoman,https://fbref.com/en/players/fb377d11/Josha-Vagnoman
Anthony Rouault,https://fbref.com/en/players/9b545925/Anthony-Rouault
Silas Katompa,https://fbref.com/en/players/de4cac2d/Silas-Katompa
Leonidas Stergiou,https://fbref.com/en/players/08391d76/Leonidas-Stergiou
Jeong Woo-yeong,https://fbref.com/en/players/6190474d/Jeong-Woo-yeong
Fabian Bredlow,https://fbref.com/en/players/d28339cb/Fabian-Bredlow
Mahmoud Dahoud,https://fbref.com/en/players/db4ed67b/Mahmoud-Dahoud
Lilian Egloff,https://fbref.com/en/players/2f7fec15/Lilian-Egloff
Roberto Massimo,https://fbref.com/en/players/fc62fdf4/Roberto-Massimo
Borna Sosa,https://fbref.com/en/players/af0d79a9/Borna-Sosa
Luca Raimund,https://fbref.com/en/players/df1665d7/Luca-Raimund
Jovan Milošević,https://fbref.com/en/players/fdbe14c8/Jovan-Milosevic
Genki Haraguchi,https://fbref.com/en/players/f24ea523/Genki-Haraguchi
Samuele Di Benedetto,https://fbref.com/en/players/7c254c75/Samuele-Di-Benedetto
Anrie Chase,https://fbref.com/en/players/ee2cf168/Anrie-Chase
Moussa Cissé,https://fbref.com/en/players/f23db17d/Moussa-Cisse
Thomas Kastanaras,https://fbref.com/en/players/778ccc44/Thomas-Kastanaras
Raul Paula,https://fbref.com/en/players/6e05b753/Raul-Paula
Mohamed Sankoh,https://fbref.com/en/players/be625686/Mohamed-Sankoh
Florian Schock,https://fbref.com/en/players/14abb0e6/Florian-Schock
Dennis Seimen,https://fbref.com/en/players/2b1e148e/Dennis-Seimen
Paulo Gazzaniga,https://fbref.com/en/players/63d17038/Paulo-Gazzaniga
Aleix García,https://fbref.com/en/players/a10361d2/Aleix-Garcia
Miguel Gutiérrez,https://fbref.com/en/players/7e98cff1/Miguel-Gutierrez
Sávio,https://fbref.com/en/players/fe6e7156/Savio
Daley Blind,https://fbref.com/en/players/691bef82/Daley-Blind
Iván Martín,https://fbref.com/en/players/ae48c5cb/Ivan-Martin
Artem Dovbyk,https://fbref.com/en/players/5b847bb0/Artem-Dovbyk
Eric García,https://fbref.com/en/players/2bed3eab/Eric-Garcia
Yangel Herrera,https://fbref.com/en/players/5083a734/Yangel-Herrera
Viktor Tsyhankov,https://fbref.com/en/players/f7e87032/Viktor-Tsyhankov
David López,https://fbref.com/en/players/f03f284b/David-Lopez
Yan Couto,https://fbref.com/en/players/1944818c/Yan-Couto
Arnau Martinez,https://fbref.com/en/players/c3e66ffe/Arnau-Martinez
Portu,https://fbref.com/en/players/1bda5842/Portu
Juanpe,https://fbref.com/en/players/1633fc8a/Juanpe
Cristhian Stuani,https://fbref.com/en/players/220c11f1/Cristhian-Stuani
Pablo Torre,https://fbref.com/en/players/04e531b6/Pablo-Torre
Valery Fernández,https://fbref.com/en/players/4acd733a/Valery-Fernandez
Jhon Solis,https://fbref.com/en/players/1282939a/Jhon-Solis
Antal Yaakobishvili,https://fbref.com/en/players/cd59a7e6/Antal-Yaakobishvili
Jastin García,https://fbref.com/en/players/0302f7b4/Jastin-Garcia
Toni Villa,https://fbref.com/en/players/636eae97/Toni-Villa
Ibrahima Kebe,https://fbref.com/en/players/047759a0/Ibrahima-Kebe
Bernardo Espinosa,https://fbref.com/en/players/4242011c/Bernardo-Espinosa
Silvi Clúa,https://fbref.com/en/players/b793dea2/Silvi-Clua
Juan Carlos,https://fbref.com/en/players/688b96e3/Juan-Carlos
Iker Almena,https://fbref.com/en/players/0b32f721/Iker-Almena
Ricard Artero,https://fbref.com/en/players/5d133e96/Ricard-Artero
Santiago Bueno,https://fbref.com/en/players/edc98fac/Santiago-Bueno
Toni Fuidias,https://fbref.com/en/players/33d2c795/Toni-Fuidias
Borja García,https://fbref.com/en/players/e7f4603c/Borja-Garcia
Carles Garrido,https://fbref.com/en/players/ce56aac7/Carles-Garrido
Eric Monjonell,https://fbref.com/en/players/42593c71/Eric-Monjonell
Manu Vallejo,https://fbref.com/en/players/0bc4e720/Manu-Vallejo
Harry Kane,https://fbref.com/en/players/21a66f6a/Harry-Kane
Joshua Kimmich,https://fbref.com/en/players/49296448/Joshua-Kimmich
Leon Goretzka,https://fbref.com/en/players/cc86b9a3/Leon-Goretzka
Leroy Sané,https://fbref.com/en/players/2b114be3/Leroy-Sane
Alphonso Davies,https://fbref.com/en/players/d781d855/Alphonso-Davies
Manuel Neuer,https://fbref.com/en/players/8778c910/Manuel-Neuer
Kim Min-jae,https://fbref.com/en/players/e0f8151c/Kim-Min-jae
Jamal Musiala,https://fbref.com/en/players/2c0558b8/Jamal-Musiala
Thomas Müller,https://fbref.com/en/players/3c6089ab/Thomas-Muller
Dayot Upamecano,https://fbref.com/en/players/d248cd8f/Dayot-Upamecano
Konrad Laimer,https://fbref.com/en/players/c1b7847c/Konrad-Laimer
Matthijs de Ligt,https://fbref.com/en/players/d6e53a3a/Matthijs-de-Ligt
Noussair Mazraoui,https://fbref.com/en/players/b74277a0/Noussair-Mazraoui
Kingsley Coman,https://fbref.com/en/players/042e8a49/Kingsley-Coman
Aleksandar Pavlovic,https://fbref.com/en/players/2658c82f/Aleksandar-Pavlovic
Raphaël Guerreiro,https://fbref.com/en/players/048a1cbc/Raphael-Guerreiro
Eric Dier,https://fbref.com/en/players/ac861941/Eric-Dier
Sven Ulreich,https://fbref.com/en/players/7d3e7da6/Sven-Ulreich
Eric Maxim Choupo-Moting,https://fbref.com/en/players/0e6bc38c/Eric-Maxim-Choupo-Moting
Mathys Tel,https://fbref.com/en/players/829aa60c/Mathys-Tel
Serge Gnabry,https://fbref.com/en/players/88e357ef/Serge-Gnabry
Bryan Zaragoza,https://fbref.com/en/players/a96103b2/Bryan-Zaragoza
Lovro Zvonarek,https://fbref.com/en/players/253bd2b3/Lovro-Zvonarek
Sacha Boey,https://fbref.com/en/players/6c8ddd52/Sacha-Boey
Bouna Sarr,https://fbref.com/en/players/1a4b9094/Bouna-Sarr
Frans Krätzig,https://fbref.com/en/players/1fc08838/Frans-Kratzig
Daniel Peretz,https://fbref.com/en/players/3f29b3ba/Daniel-Peretz
Matteo Perez Vinlöf,https://fbref.com/en/players/7c762839/Matteo-Perez-Vinlof
Ryan Gravenberch,https://fbref.com/en/players/b8e740fb/Ryan-Gravenberch
