,Name,Link
124,Pasquale Mazzocchi,https://fbref.com//en/players/eb0ec070/Pasquale-Mazzocchi
125,Elia Caprile,https://fbref.com//en/players/97d7afbd/Elia-Caprile
126,Leonardo Spinazzola,https://fbref.com//en/players/3626daea/Leonardo-Spinazzola
127,Giacomo Raspadori,https://fbref.com//en/players/6e058f06/Giacomo-Raspadori
128,Giovanni Simeone,https://fbref.com//en/players/343c0d52/Giovanni-Simeone
129,David Neres,https://fbref.com//en/players/4f1e6a0b/David-Neres
130,Cyril Ngonge,https://fbref.com//en/players/2b8360f1/Cyril-Ngonge
131,Juan Jesus,https://fbref.com//en/players/79083382/Juan-Jesus
132,Michael Folorunsho,https://fbref.com//en/players/c391a179/Michael-Folorunsho
133,Walid Cheddira,https://fbref.com//en/players/0545a08e/Walid-Cheddira
134,Alessio Zerbin,https://fbref.com//en/players/d19ef4ef/Alessio-Zerbin
135,Nikita Contini Baranovsky,https://fbref.com//en/players/e95069bb/Nikita-Contini-Baranovsky
136,Gianluca Gaetano,https://fbref.com//en/players/3b387cc7/Gianluca-Gaetano
137,Gennaro Iaccarino,https://fbref.com//en/players/5b079870/Gennaro-Iaccarino
138,Rafa Marín ,https://fbref.com//en/players/3239a8ed/Rafa-Marin
139,Francesco Mezzoni,https://fbref.com//en/players/bb0b6521/Francesco-Mezzoni
140,Coli Saco,https://fbref.com//en/players/95df20b2/Coli-Saco
141,Claudio Turi,https://fbref.com//en/players/193a5d9c/Claudio-Turi
142,Marten de Roon,https://fbref.com//en/players/2a1beb34/Marten-de-Roon
143,Marco Carnesecchi,https://fbref.com//en/players/8ec56e62/Marco-Carnesecchi
144,Éderson,https://fbref.com//en/players/a9202def/Ederson
145,Mateo Retegui,https://fbref.com//en/players/e7695e6c/Mateo-Retegui
146,Berat Djimsiti,https://fbref.com//en/players/6eee05f1/Berat-Djimsiti
147,Matteo Ruggeri,https://fbref.com//en/players/ae9898c5/Matteo-Ruggeri
148,Isak Hien,https://fbref.com//en/players/12806697/Isak-Hien
149,Charles De Ketelaere,https://fbref.com//en/players/2ef7c612/Charles-De-Ketelaere
150,Ademola Lookman,https://fbref.com//en/players/7c104bb7/Ademola-Lookman
151,Mario Pašalić,https://fbref.com//en/players/e599253a/Mario-Pasalic
152,Raoul Bellanova,https://fbref.com//en/players/e3756e72/Raoul-Bellanova
153,Davide Zappacosta,https://fbref.com//en/players/7fe90ccd/Davide-Zappacosta
154,Sead Kolašinac,https://fbref.com//en/players/3935e52e/Sead-Kolasinac
155,Odilon Kossounou,https://fbref.com//en/players/1f3afdcb/Odilon-Kossounou
