Name,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Off,Performance_PKcon,Performance_OG,Err
Josha Vagnoman,16.0,1.0,1.0,88.0,8.0,1.0,0.0,3.0
Joshua Brooking,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Joshua Kimmich,42.0,2.0,1.0,204.0,14.0,3.0,0.0,8.0
Joshua Quarshie,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joshua Zirkzee,19.0,2.0,1.0,64.0,12.0,0.0,0.0,0.0
Josip Brekalo,9.0,0.0,0.0,120.0,21.0,0.0,0.0,3.0
Josip Juranović,19.0,1.0,0.0,17.0,4.0,0.0,2.0,2.0
Josip Stanišić,21.0,1.0,1.0,24.0,2.0,0.0,0.0,5.0
Josuha Guilavogui,66.0,4.0,2.0,529.0,15.0,6.0,2.0,4.0
Josué Casimir,15.0,0.0,0.0,84.0,21.0,0.0,0.0,0.0
José Arnaiz,25.0,0.0,0.0,173.0,45.0,0.0,1.0,1.0
José Callejón,42.0,2.0,0.0,353.0,90.0,4.0,0.0,2.0
José Campaña,61.0,3.0,2.0,175.0,9.0,2.0,0.0,4.0
José Luis García Vayá,41.0,1.0,1.0,160.0,2.0,1.0,0.0,1.0
José Luis Gayà,67.0,3.0,2.0,276.0,35.0,4.0,0.0,4.0
José Luis Morales,43.0,1.0,1.0,196.0,114.0,0.0,0.0,1.0
José Luis Palomino,43.0,2.0,1.0,260.0,5.0,2.0,3.0,7.0
José Mari,71.0,5.0,2.0,254.0,0.0,0.0,0.0,1.0
José María Giménez,55.0,0.0,0.0,160.0,12.0,3.0,0.0,6.0
José Pozo,22.0,2.0,1.0,110.0,8.0,1.0,0.0,2.0
Jovan Milošević,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Jovane Cabral,10.0,0.0,0.0,99.0,14.0,1.0,0.0,1.0
João Cancelo,54.0,5.0,2.0,309.0,24.0,4.0,0.0,5.0
João Ferreira,17.0,1.0,0.0,73.0,5.0,1.0,0.0,1.0
João Félix,26.0,2.0,1.0,121.0,42.0,0.0,0.0,2.0
João Gomes,18.0,0.0,0.0,93.0,1.0,2.0,0.0,2.0
João Palhinha,69.0,1.0,0.0,395.0,8.0,3.0,1.0,5.0
João Pedro,17.0,1.0,1.0,121.0,32.0,0.0,0.0,0.0
Joël Matip,41.0,1.0,0.0,348.0,3.0,1.0,2.0,5.0
Joël Veltman,48.0,4.0,2.0,350.0,1.0,2.0,0.0,1.0
Joško Gvardiol,15.0,0.0,0.0,81.0,4.0,1.0,3.0,6.0
Juan Brandáriz,11.0,0.0,0.0,28.0,0.0,1.0,0.0,3.0
Juan Cruz,3.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0
Juan Cruz Armada,34.0,2.0,1.0,136.0,9.0,1.0,1.0,2.0
Juan Cuadrado,90.0,5.0,0.0,421.0,20.0,0.0,0.0,3.0
Juan David Cabal,9.0,0.0,0.0,28.0,1.0,0.0,0.0,3.0
Juan Foyth,23.0,2.0,1.0,119.0,0.0,3.0,0.0,2.0
Juan Jesus,63.0,2.0,0.0,277.0,3.0,4.0,2.0,1.0
Juan Miranda,18.0,1.0,0.0,80.0,5.0,2.0,0.0,1.0
Juanlu Sánchez,8.0,0.0,0.0,12.0,1.0,2.0,0.0,0.0
Juanmi,41.0,4.0,3.0,255.0,120.0,1.0,0.0,1.0
Juanmi Latasa,9.0,1.0,1.0,89.0,8.0,1.0,0.0,0.0
Juanpe,87.0,3.0,1.0,264.0,4.0,3.0,0.0,3.0
Jude Bellingham,35.0,2.0,1.0,200.0,16.0,1.0,0.0,0.0
Jules Koundé,24.0,2.0,0.0,140.0,11.0,5.0,1.0,19.0
Julian Araujo,5.0,0.0,0.0,16.0,2.0,0.0,0.0,1.0
Julian Brandt,8.0,0.0,0.0,113.0,24.0,0.0,0.0,6.0
Julian Chabot,52.0,5.0,3.0,153.0,6.0,1.0,0.0,2.0
Julian Justvan,7.0,0.0,0.0,36.0,0.0,1.0,0.0,1.0
Julian Ryerson,21.0,0.0,0.0,151.0,3.0,0.0,0.0,3.0
Julian Weigl,67.0,0.0,0.0,362.0,0.0,2.0,0.0,6.0
Julien Laporte,42.0,3.0,1.0,206.0,7.0,8.0,3.0,5.0
Julien Le Cardinal,12.0,0.0,0.0,80.0,1.0,0.0,1.0,0.0
Julien Ponceau,12.0,0.0,0.0,118.0,19.0,1.0,0.0,0.0
Julio Enciso,3.0,0.0,0.0,19.0,4.0,0.0,0.0,0.0
Julián Malatini,1.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0
Julián Álvarez,2.0,0.0,0.0,46.0,7.0,0.0,0.0,1.0
Junior Adamu,6.0,1.0,0.0,89.0,62.0,0.0,0.0,0.0
Junior Diaz,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Junior Dina Ebimbe,19.0,0.0,0.0,119.0,7.0,0.0,0.0,1.0
Junior Messias,18.0,1.0,0.0,144.0,18.0,1.0,0.0,0.0
Junior Mwanga,4.0,1.0,0.0,51.0,3.0,1.0,0.0,0.0
Junior Sambia,35.0,2.0,1.0,194.0,11.0,2.0,1.0,1.0
Junya Ito,16.0,2.0,1.0,108.0,85.0,0.0,0.0,2.0
Jurriën Timber,12.0,0.0,0.0,111.0,7.0,0.0,0.0,6.0
Justin Diehl,7.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0
Justin Hubner,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Justin Kluivert,31.0,2.0,1.0,252.0,30.0,1.0,0.0,0.0
Justin Njinmah,7.0,0.0,0.0,6.0,11.0,0.0,0.0,0.0
Jérémie Bela,22.0,1.0,1.0,161.0,57.0,1.0,0.0,1.0
Jérémy Le Douaron,4.0,0.0,0.0,99.0,18.0,1.0,0.0,0.0
Jérôme Boateng,64.0,7.0,0.0,346.0,2.0,2.0,1.0,3.0
Jérôme Roussillon,32.0,0.0,0.0,140.0,14.0,0.0,0.0,2.0
Jóhann Berg Guðmundsson,24.0,1.0,0.0,191.0,18.0,1.0,0.0,0.0
Jørgen Strand Larsen,20.0,0.0,0.0,241.0,75.0,0.0,0.0,1.0
Kacper Urbanski,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Kadan Young,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaden Rodney,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaelan Casey,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kai Havertz,31.0,0.0,0.0,291.0,85.0,0.0,0.0,3.0
Kaide Gordon,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Kaiky,11.0,0.0,0.0,31.0,1.0,4.0,0.0,1.0
Kaine Kesler-Hayden,15.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0
Kaio Jorge,2.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0
Kalvin Phillips,55.0,6.0,2.0,363.0,1.0,1.0,0.0,7.0
Kamil Jóźwiak,24.0,0.0,0.0,70.0,11.0,0.0,0.0,0.0
Kamil Piątkowski,13.0,1.0,0.0,29.0,1.0,0.0,1.0,1.0
Kamory Doumbia,2.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0
Kaoru Mitoma,6.0,0.0,0.0,55.0,15.0,0.0,0.0,0.0
Karamoko Dembele,4.0,0.0,0.0,36.0,5.0,0.0,0.0,0.0
Karim Adeyemi,29.0,1.0,1.0,102.0,33.0,0.0,0.0,0.0
Karim Onisiwo,17.0,0.0,0.0,270.0,101.0,1.0,0.0,0.0
Karim Zedadka,5.0,0.0,0.0,23.0,3.0,1.0,0.0,0.0
Karlo Lulić,31.0,2.0,1.0,75.0,4.0,0.0,0.0,1.0
Karol Fila,26.0,1.0,0.0,28.0,0.0,1.0,0.0,1.0
Karol Linetty,77.0,0.0,0.0,347.0,10.0,1.0,0.0,1.0
Karol Świderski,18.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Kasim Nuhu,36.0,3.0,1.0,63.0,2.0,2.0,2.0,0.0
Kassoum Ouattara,4.0,0.0,0.0,38.0,2.0,0.0,0.0,0.0
Kastriot Dermaku,16.0,1.0,0.0,27.0,0.0,0.0,0.0,0.0
Keane Lewis-Potter,9.0,0.0,0.0,56.0,48.0,0.0,0.0,0.0
