Name,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off
Marcus Edwards,1.4458333333333335,21.0,15.833333333333334,5.166666666666667,0.29833333333333334,-0.04666666666666667,25.4875,17.162499999999998,8.325000000000001,0.85375,0.2525
Marcus Harness,1.3058333333333334,22.166666666666668,16.5,5.666666666666667,-0.16666666666666666,-0.2775,8.233333333333333,7.266666666666667,0.9666666666666667,-0.64,-0.4466666666666667
Marcus Pedersen,1.421111111111111,19.88888888888889,15.0,4.888888888888889,-0.6000000000000001,-1.3022222222222224,21.46,16.54,4.9,0.8119999999999999,0.158
Marcus Rashford,1.75,34.8,25.4,9.4,0.40800000000000003,-0.08099999999999999,36.449999999999996,29.9875,6.45,0.21125,-0.10500000000000001
Marcus Tavernier,1.5054545454545454,21.0,20.363636363636363,0.6363636363636364,0.06909090909090909,0.3845454545454545,31.642857142857142,26.985714285714288,4.6571428571428575,0.14857142857142858,0.22714285714285715
Marcus Thuram,1.56,27.727272727272727,24.272727272727273,3.4545454545454546,1.0927272727272728,1.050909090909091,35.9375,28.3875,7.5625,0.29875,-0.05750000000000001
Marcão,1.52,26.444444444444443,20.0,6.444444444444445,-0.02111111111111108,0.03999999999999999,7.574999999999999,11.25,-3.65,-0.5175,-0.305
Marin Pongračić,1.675,18.6,13.7,4.9,0.5589999999999999,0.04800000000000004,14.75,15.450000000000001,-0.7000000000000001,-0.07833333333333334,-0.17499999999999996
Marin Šverko,1.2691666666666668,10.916666666666666,10.583333333333334,0.3333333333333333,-0.635,-0.39083333333333337,13.379999999999999,12.8,0.5800000000000003,-0.5,-0.23200000000000004
Mario Balotelli,1.5899999999999999,15.846153846153847,15.307692307692308,0.5384615384615384,0.2784615384615384,0.33,14.333333333333334,14.866666666666667,-0.55,0.07166666666666667,0.245
Mario Engels,1.1845454545454546,17.636363636363637,20.90909090909091,-3.272727272727273,0.36727272727272725,0.9718181818181818,15.033333333333333,19.033333333333335,-4.033333333333333,-0.205,0.0050000000000000044
