,Name,age,footed,height,weight,current_club,League,Tier,FW,MF,DF
1560,Matthias Bader,27.0,Right,176.0,73.0,Darmstadt 98,2,2,0,1,1
1561,Matthias Ginter,30.0,Right,189.0,87.0,Freiburg,Bundesliga,1,0,1,1
1562,Matthieu Udol,28.0,Left,178.0,73.0,Metz,Ligue 2,2,0,0,1
1563,Matthijs de Ligt,25.0,Right,189.0,88.0,Manchester Utd,Premier League,1,0,0,1
1564,Matthis Abline,21.0,,176.0,69.0,Nantes,Ligue 1,1,1,0,0
1565,Mattia Aramu,29.0,Left,180.0,67.0,Mantova,Serie B,2,1,1,0
1566,Mattia Caldara,30.0,Right,187.0,79.0,Modena,Serie B,2,0,0,1
1567,Mattia De Sciglio,31.0,Right,183.0,73.0,Juventus,Serie A,1,0,1,1
1568,Mattia Destro,,Right,181.0,72.0,Empoli,Serie A,1,1,0,0
1569,Mattia Viti,22.0,Left,193.0,78.0,Empoli,Serie A,1,0,0,1
1570,Mattia Zaccagni,29.0,Right,176.0,63.0,Lazio,Serie A,1,1,1,0
1571,Mattias Svanberg,25.0,Right,185.0,74.0,Wolfsburg,Bundesliga,1,0,1,0
1572,Matty Cash,27.0,Right,185.0,76.0,Aston Villa,Premier League,1,1,1,1
1573,Mattéo Guendouzi,25.0,Right,185.0,68.0,Lazio,Serie A,1,0,1,0
1574,Matìas Soulé,21.0,Left,176.0,54.0,Roma,Serie A,1,1,1,0
1575,Matías Vecino,33.0,Right,187.0,81.0,Lazio,Serie A,1,1,1,0
1576,Matías Viña,26.0,Left,176.0,71.0,Flamengo,Série A,1,0,1,1
1577,Matúš Bero,29.0,Right,181.0,81.0,Bochum,Bundesliga,1,1,1,0
1578,Mauro Arambarri,28.0,Right,174.0,71.0,Getafe,La Liga,1,0,1,0
1579,Mauro Bandeira,,,,,Colchester Utd,League Two,4,0,1,0
1580,Max Aarons,24.0,Right,172.0,66.0,Bournemouth,Premier League,1,0,0,1
1581,Max Finkgräfe,20.0,,,,Köln,Bundesliga,1,0,0,1
1582,Max Kilman,27.0,Left,192.0,78.0,West Ham,Premier League,1,0,0,1
1583,Max Lowe,27.0,Left,168.0,69.0,Sheffield Weds,Championship,2,0,1,1
1584,Max Rosenfelder,21.0,,,,Freiburg,Bundesliga,1,0,0,1
1585,Max Scholze,19.0,,,,Verl,3,3,1,0,0
1586,Maxence Caqueret,24.0,Right,174.0,63.0,Lyon,Ligue 1,1,0,1,0
1587,Maxence Lacroix,24.0,Right,190.0,88.0,Wolfsburg,Bundesliga,1,0,0,1
1588,Maxi Gómez,28.0,Right,186.0,91.0,Cádiz,La Liga,1,1,0,0
1589,Maxim Dal,18.0,,188.0,,Mainz U19,U19 Bundesliga,6,0,0,1
1590,Maxim Leitsch,26.0,Left,186.0,79.0,Mainz 05,Bundesliga,1,0,0,1
1591,Maxime Busi,24.0,Right,182.0,74.0,Reims,Ligue 1,1,0,0,1
1592,Maxime Colin,32.0,Right,180.0,74.0,Metz,Ligue 2,2,0,1,1
1593,Maxime Estève,22.0,Left,192.0,82.0,Burnley,Championship,2,0,0,1
1594,Maxime Gonalons,,Right,187.0,76.0,Clermont Foot,Ligue 1,1,0,1,0
1595,Maxime Lopez,26.0,Right,167.0,58.0,Fiorentina,Serie A,1,0,1,0
1596,Maximilian Bauer,24.0,Right,189.0,83.0,Augsburg,Bundesliga,1,0,0,1
1597,Maximilian Beier,21.0,Right,183.0,71.0,Dortmund,Bundesliga,1,1,1,0
1598,Maximilian Breunig,24.0,,,,Heidenheim,Bundesliga,1,1,0,0
1599,Maximilian Eggestein,27.0,Right,181.0,74.0,Freiburg,Bundesliga,1,0,1,0
1600,Maximilian Mittelstädt,27.0,Left,178.0,68.0,Stuttgart,Bundesliga,1,0,1,1
1601,Maximilian Philipp,30.0,Right,184.0,77.0,Freiburg,Bundesliga,1,1,1,0
1602,Maximilian Wittek,29.0,Left,170.0,72.0,Bochum,Bundesliga,1,0,1,1
1603,Maximilian Wöber,26.0,Left,188.0,82.0,Gladbach,Bundesliga,1,0,0,1
1604,Maximiliano Caufriez,27.0,Right,189.0,81.0,Clermont Foot,Ligue 1,1,0,0,1
1605,Maxwel Cornet,27.0,Left,179.0,68.0,West Ham,Premier League,1,1,1,1
1606,Mehdi Bourabia,33.0,Right,183.0,73.0,Kayserispor,Süper Lig,1,0,1,0
1607,Mehdi Zeffane,,Right,174.0,63.0,Clermont Foot,Ligue 1,1,0,1,1
1608,Melvin Bard,23.0,Left,173.0,68.0,Nice,Ligue 1,1,0,0,1
1609,Memphis,30.0,Right,176.0,73.0,Atlético Madrid,La Liga,1,1,1,0
1610,Mergim Berisha,26.0,Right,186.0,78.0,Hoffenheim,Bundesliga,1,1,0,0
1611,Merlin Röhl,22.0,Both,191.0,73.0,Freiburg,Bundesliga,1,0,1,0
1612,Mert Kömür,19.0,,,,Augsburg,Bundesliga,1,0,1,0
1613,Micah Hamilton,20.0,,,,Middlesbrough,Championship,2,0,1,0
1614,Michael Amir Murillo,28.0,Right,183.0,79.0,Marseille,Ligue 1,1,0,1,1
1615,Michael Folorunsho,26.0,Right,,,Hellas Verona,Serie A,1,1,1,0
1616,Michael Gregoritsch,30.0,Left,193.0,74.0,Freiburg,Bundesliga,1,1,1,0
1617,Michael Kayode,20.0,Right,,,Fiorentina,Serie A,1,0,0,1
1618,Michael Obafemi,24.0,Right,169.0,69.0,Plymouth Argyle,Championship,2,1,0,0
1619,Michael Olise,22.0,Left,178.0,68.0,Bayern Munich,Bundesliga,1,1,1,0
1620,Michail Antonio,34.0,Right,180.0,82.0,West Ham,Premier League,1,1,1,0
1621,Michel Aebischer,27.0,Right,178.0,69.0,Bologna,Serie A,1,0,1,0
1622,Micky van de Ven,23.0,Left,193.0,81.0,Tottenham Hotspur,Premier League,1,0,0,1
1623,Miguel Almirón,30.0,Left,174.0,69.0,Newcastle Utd,Premier League,1,1,1,0
1624,Miguel Gutiérrez,23.0,Left,180.0,71.0,Girona,La Liga,1,0,0,1
1625,Miguel Ángel Rubio,26.0,Right,191.0,86.0,Granada,La Liga 2,2,0,0,1
1626,Mihailo Ristić,28.0,Left,183.0,73.0,Celta Vigo,La Liga,1,0,1,1
1627,Mihajlo Ilić,21.0,,,,Partizan,SuperLiga,1,0,0,1
1628,Mika Baur,20.0,,,,SC Freiburg II,3,3,0,1,0
1629,Mika Màrmol,22.0,,181.0,71.0,Las Palmas,La Liga,1,0,0,1
1630,Mike Trésor,25.0,Right,173.0,68.0,Burnley,Premier League,1,1,1,0
1631,Mikel Merino,28.0,Left,188.0,78.0,Real Sociedad,La Liga,1,0,1,0
1632,Mikel Oyarzabal,27.0,Left,181.0,77.0,Real Sociedad,La Liga,1,1,1,0
1633,Mikel Vesga,31.0,Left,191.0,86.0,Athletic Club,La Liga,1,0,1,0
1634,Mikkel Damsgaard,24.0,Right,176.0,68.0,Brentford,Premier League,1,1,1,0
1635,Mikkel Desler,29.0,Right,187.0,72.0,Austin,MLS,1,0,1,1
1636,Mikkel Kaufmann,23.0,Right,190.0,81.0,Union Berlin,Bundesliga,1,1,0,0
1637,Milan Badelj,35.0,Right,186.0,79.0,Genoa,Serie A,1,0,1,0
1638,Milan Đurić,34.0,Right,199.0,93.0,Monza,Serie A,1,1,0,0
1639,Milan Škriniar,29.0,Right,187.0,79.0,Paris S-G,Ligue 1,1,0,1,1
1640,Milos Kerkez,20.0,Left,,,Bournemouth,Premier League,1,0,1,1
1641,Miloš Pantović,28.0,Right,185.0,67.0,Eupen,Pro League A,1,1,1,0
1642,Miloš Veljković,28.0,Right,184.0,77.0,Werder Bremen,Bundesliga,1,0,0,1
1643,Milutin Osmajić,25.0,,,,Preston,Championship,2,1,0,0
1644,Mirko Marić,29.0,,186.0,77.0,Monza,Serie A,1,1,0,0
1645,Mitchel Bakker,24.0,Left,185.0,79.0,Atalanta,Serie A,1,0,1,1
1646,Mitchell Weiser,30.0,Right,176.0,67.0,Werder Bremen,Bundesliga,1,1,1,1
1647,Modibo Sagnan,25.0,Left,187.0,77.0,Montpellier,Ligue 1,1,0,0,1
1648,Mohamed Ali Cho,20.0,Left,182.0,66.0,Nice,Ligue 1,1,1,0,0
1649,Mohamed Bamba,22.0,,,,Lorient,Ligue 1,1,1,0,0
1650,Mohamed Camara,24.0,Right,168.0,71.0,Monaco,Ligue 1,1,0,1,0
1651,Mohamed Elneny,32.0,Right,180.0,77.0,Arsenal,Premier League,1,0,1,0
1652,Mohamed Kaba,22.0,,,,Lecce,Serie A,1,0,1,0
1653,Mohamed Lamine Bayo,26.0,Right,188.0,83.0,Lille,Ligue 1,1,1,0,0
1654,Mohamed Salah,32.0,Left,175.0,71.0,Liverpool,Premier League,1,1,1,0
1655,Mohamed Sankoh,20.0,Right,180.0,68.0,Cosenza,Serie B,2,1,0,0
1656,Mohamed Simakan,24.0,Right,187.0,82.0,RB Leipzig,Bundesliga,1,0,0,1
1657,Mohammed Daramy,22.0,,180.0,73.0,Reims,Ligue 1,1,1,1,0
1658,Mohammed Kudus,24.0,Left,177.0,74.0,West Ham,Premier League,1,1,1,0
1659,Mohammed Salisu,25.0,Left,191.0,82.0,Monaco,Ligue 1,1,0,0,1
1660,Moi Gómez,30.0,Right,174.0,64.0,Osasuna,La Liga,1,1,1,0
1661,Moise Kean,24.0,Right,182.0,77.0,Fiorentina,Serie A,1,1,0,0
1662,Moisés Caicedo,22.0,Right,178.0,74.0,Chelsea,Premier League,1,0,1,0
1663,Montassar Talbi,26.0,Right,190.0,83.0,Lorient,Ligue 2,2,0,0,1
1664,Morgan Gibbs-White,24.0,Right,177.0,67.0,Nott'ham Forest,Premier League,1,1,1,0
1665,Morgan Guilavogui,26.0,Right,188.0,74.0,St. Pauli,Bundesliga,1,1,1,0
1666,Morgan Rogers,22.0,Left,189.0,76.0,Aston Villa,Premier League,1,1,1,0
1667,Morgan Sanson,30.0,Right,182.0,69.0,Nice,Ligue 1,1,0,1,0
1668,Moritz Broschinski,23.0,,,,Bochum,Bundesliga,1,1,0,0
1669,Moritz Jenz,25.0,Right,189.0,78.0,Wolfsburg,Bundesliga,1,0,0,1
1670,Moritz Römling,23.0,,,,Rot-Weiss Essen,3,3,1,0,0
1671,Moritz-Broni Kwarteng,26.0,Both,176.0,68.0,Bochum,Bundesliga,1,0,1,0
1672,Morten Frendrup,23.0,Right,178.0,71.0,Genoa,Serie A,1,0,1,0
1673,Morten Thorsby,28.0,Right,186.0,72.0,Genoa,Serie A,1,0,1,0
1674,Moses Simon,29.0,Right,168.0,66.0,Nantes,Ligue 1,1,1,1,0
1675,Mostafa Mohamed,26.0,Right,185.0,78.0,Nantes,Ligue 1,1,1,0,0
1676,Mouctar Diakhaby,27.0,Right,192.0,73.0,Valencia,La Liga,1,0,0,1
1677,Moussa Diaby,25.0,Left,170.0,64.0,Al-Ittihad,Saudi Professional League,1,1,1,0
1678,Moussa Diarra,23.0,Left,183.0,68.0,Alavés,La Liga,1,0,0,1
1679,Moussa Niakhate,28.0,Left,190.0,82.0,Lyon,Ligue 1,1,1,0,1
1680,Moussa Sissoko,35.0,Right,187.0,83.0,Watford,Championship,2,0,1,0
1681,Muhammed Cham,23.0,Left,180.0,67.0,Trabzonspor,Süper Lig,1,0,1,0
1682,Munir El Haddadi,29.0,Left,173.0,68.0,Leganés,La Liga,1,1,1,0
1683,Murillo,22.0,,180.0,,Nott'ham Forest,Premier League,1,0,0,1
1684,Musa Al-Taamari,27.0,Left,178.0,74.0,Montpellier,Ligue 1,1,1,1,1
1685,Mykhailo Mudryk,23.0,Right,175.0,60.0,Chelsea,Premier League,1,1,1,0
1686,Myles Lewis-Skelly,17.0,,178.0,,Arsenal,PL2,6,0,1,0
1687,Myles Peart-Harris,21.0,Right,187.0,69.0,Swansea City,Championship,2,0,1,0
1688,Myron Boadu,23.0,Right,183.0,74.0,Bochum,Bundesliga,1,1,0,0
1689,Myrto Uzuni,29.0,Right,183.0,63.0,Granada,La Liga 2,2,1,1,0
1690,Mário Rui,33.0,Left,170.0,67.0,Napoli,Serie A,1,0,1,1
1691,Máximo Perrone,21.0,Left,178.0,63.0,Como,Serie A,1,0,1,0
1692,Mërgim Vojvoda,29.0,Right,187.0,71.0,Torino,Serie A,1,0,1,1
1693,Naatan Skyttä,22.0,,,,Dunkerque,Ligue 2,2,0,1,0
1694,Nabil Alioui,25.0,Right,175.0,63.0,Adana Demirspor,Süper Lig,1,1,1,0
1695,Nabil Bentaleb,29.0,Left,187.0,78.0,Lille,Ligue 1,1,0,1,0
1696,Naby Keïta,29.0,Right,172.0,71.0,Werder Bremen,Bundesliga,1,0,1,0
1697,Nacho,34.0,Right,179.0,74.0,Al-Qadsiah,Saudi Professional League,1,0,0,1
1698,Nacho Ferri,19.0,,192.0,79.0,Kortrijk,Pro League A,1,1,0,0
1699,Nacho Vidal,29.0,Right,180.0,73.0,Osasuna,La Liga,1,0,0,1
1700,Nadiem Amiri,27.0,Right,178.0,72.0,Mainz 05,Bundesliga,1,0,1,0
1701,Nadir Zortea,25.0,Right,175.0,69.0,Frosinone,Serie A,1,0,1,1
1702,Nahitan Nández,28.0,Right,172.0,69.0,Al-Qadsiah,Saudi Professional League,1,0,1,1
1703,Nahuel Molina,26.0,Right,175.0,69.0,Atlético Madrid,La Liga,1,0,1,1
1704,Nahuel Tenaglia,28.0,Right,182.0,71.0,Alavés,La Liga,1,0,0,1
1705,Nampalys Mendy,32.0,Right,168.0,68.0,Lens,Ligue 1,1,0,1,0
1706,Naouirou Ahamada,22.0,Right,183.0,76.0,Crystal Palace,Premier League,1,0,1,0
1707,Nathan Aké,29.0,Left,180.0,74.0,Manchester City,Premier League,1,0,1,1
1708,Nathan Collins,23.0,Right,193.0,81.0,Brentford,Premier League,1,0,0,1
1709,Nathan Fraser,19.0,,,,Zulte Waregem,Pro League B,2,1,0,0
1710,Nathan N'Goumou,24.0,Right,182.0,69.0,Gladbach,Bundesliga,1,1,1,0
1711,Nathan Redmond,30.0,Right,173.0,74.0,Burnley,Premier League,1,1,1,0
1712,Nathan Zeze,19.0,,,,Nantes,Ligue 1,1,0,0,1
1713,Nathanael Mbuku,22.0,Left,170.0,64.0,Saint-Étienne,Ligue 2,2,0,1,0
1714,Nathaniel Adjei,22.0,,,,Lorient,Ligue 2,2,0,0,1
1715,Nathaniel Clyne,33.0,Right,175.0,67.0,Crystal Palace,Premier League,1,0,0,1
1716,Nayef Aguerd,28.0,Left,188.0,76.0,West Ham,Premier League,1,0,0,1
1717,Neal Maupay,28.0,Right,171.0,68.0,Marseille,Ligue 1,1,1,1,0
1718,Neco Williams,23.0,Right,183.0,76.0,Nott'ham Forest,Premier League,1,0,1,1
1719,Nedim Bajrami,25.0,Right,179.0,68.0,Sassuolo,Serie B,2,1,1,0
1720,Nehuén Pérez,24.0,Right,184.0,78.0,Udinese,Serie A,1,0,0,1
1721,Neil El Aynaoui,23.0,Right,182.0,78.0,Lens,Ligue 1,1,0,1,0
1722,Nelson Weiper,19.0,,192.0,81.0,Mainz 05,Bundesliga,1,1,0,0
1723,Nemanja Gudelj,32.0,Right,187.0,73.0,Sevilla,La Liga,1,0,1,1
1724,Nemanja Maksimović,29.0,Right,189.0,74.0,Panathinaikos,Super League,1,0,1,0
1725,Nemanja Matić,36.0,Left,194.0,84.0,Lyon,Ligue 1,1,0,1,0
1726,Nemanja Radonjić,28.0,Right,178.0,69.0,Mallorca,La Liga,1,1,1,0
1727,Niccolò Pierozzi,22.0,Left,,,Palermo,Serie B,2,0,0,1
1728,Nick Woltemade,22.0,Right,187.0,79.0,Stuttgart,Bundesliga,1,1,0,0
1729,Niclas Füllkrug,31.0,Right,188.0,82.0,West Ham,Premier League,1,1,0,0
1730,Nico Elvedi,27.0,Right,188.0,73.0,Gladbach,Bundesliga,1,0,0,1
1731,Nico Schlotterbeck,24.0,Left,191.0,84.0,Dortmund,Bundesliga,1,0,0,1
1732,Nico Williams,22.0,Right,180.0,67.0,Athletic Club,La Liga,1,1,1,0
1733,Nicola Sansone,33.0,Right,175.0,73.0,Lecce,Serie A,1,1,1,0
1734,Nicola Zalewski,22.0,Right,164.0,63.0,Roma,Serie A,1,0,1,1
1735,Nicolai Rapp,27.0,Right,185.0,74.0,Karlsruher,2,2,0,1,1
1736,Nicolas Cozza,25.0,Left,178.0,72.0,Nantes,Ligue 1,1,0,0,1
1737,Nicolas Haas,28.0,Right,178.0,73.0,Empoli,Serie A,1,0,1,0
1738,Nicolas Höfler,34.0,Right,181.0,78.0,Freiburg,Bundesliga,1,0,1,0
1739,Nicolas Jackson,23.0,,186.0,78.0,Chelsea,Premier League,1,1,0,0
1740,Nicolas Pallois,36.0,Left,190.0,84.0,Nantes,Ligue 1,1,0,0,1
1741,Nicolas Seiwald,23.0,Right,179.0,69.0,RB Leipzig,Bundesliga,1,0,1,0
1742,Nicolas Viola,34.0,Left,180.0,77.0,Cagliari,Serie A,1,0,1,0
1743,Nicolás Domínguez,26.0,Right,179.0,73.0,Nott'ham Forest,Premier League,1,0,1,0
1744,Nicolás González,26.0,Left,180.0,72.0,Juventus,Serie A,1,1,1,0
1745,Nicolás Tagliafico,32.0,Left,172.0,64.0,Lyon,Ligue 1,1,0,0,1
1746,Nicolò Barella,27.0,Right,172.0,68.0,Inter,Serie A,1,0,1,0
1747,Nicolò Cambiaghi,23.0,Both,173.0,64.0,Bologna,Serie A,1,1,1,0
1748,Nicolò Casale,26.0,Right,191.0,83.0,Lazio,Serie A,1,0,0,1
1749,Nicolò Fagioli,23.0,Right,178.0,69.0,Juventus,Serie A,1,0,1,0
1750,Nicolò Rovella,22.0,Right,179.0,68.0,Lazio,Serie A,1,0,1,0
1751,Nicolò Zaniolo,25.0,Left,190.0,83.0,Atalanta,Serie A,1,1,1,0
1752,Niels Nkounkou,23.0,Left,182.0,78.0,Eint Frankfurt,Bundesliga,1,0,1,1
1753,Niklas Dorsch,26.0,Right,175.0,72.0,Augsburg,Bundesliga,1,0,1,0
1754,Niklas Schmidt,26.0,Right,184.0,74.0,Toulouse,Ligue 1,1,1,1,0
1755,Niklas Stark,29.0,Right,189.0,73.0,Werder Bremen,Bundesliga,1,0,1,1
1756,Niklas Süle,29.0,Right,195.0,92.0,Dortmund,Bundesliga,1,0,0,1
1757,Nikola Dovedan,30.0,Right,179.0,69.0,Heidenheim,Bundesliga,1,1,1,0
1758,Nikola Krstović,24.0,Both,185.0,79.0,Lecce,Serie A,1,1,0,0
1759,Nikola Maraš,28.0,Right,188.0,77.0,Levante,La Liga 2,2,0,0,1
1760,Nikola Milenković,26.0,Right,195.0,92.0,Nott'ham Forest,Premier League,1,0,0,1
1761,Nikola Moro,26.0,Right,183.0,77.0,Bologna,Serie A,1,0,1,0
1762,Nikola Vlašić,26.0,Right,178.0,76.0,Torino,Serie A,1,1,1,0
1763,Njegoš Petrović,25.0,Right,185.0,79.0,Vojvodina,SuperLiga,1,0,1,0
1764,Nnamdi Collins,20.0,,,,Eint Frankfurt,Bundesliga,1,0,0,1
1765,Noah Loosli,27.0,,185.0,74.0,Bochum,Bundesliga,1,0,0,1
1766,Noah Okafor,24.0,Right,185.0,84.0,Milan,Serie A,1,1,1,0
1767,Noah Weißhaupt,22.0,Right,181.0,73.0,Freiburg,Bundesliga,1,0,1,0
1768,Noel Nkili,18.0,,,,Bayern U19,U19 Bundesliga,6,0,1,0
1769,Nolan Mbemba,29.0,Right,181.0,72.0,Grenoble,Ligue 2,2,0,1,0
1770,Noni Madueke,22.0,Both,176.0,66.0,Chelsea,Premier League,1,1,1,0
1771,Norbert Gyömbér,32.0,Right,189.0,73.0,Al Kholood Saudi Club,Saudi Professional League,1,0,1,1
1772,Nordi Mukiele,26.0,Right,185.0,73.0,Paris S-G,Ligue 1,1,0,1,1
1773,Norman Theuerkauf,37.0,Left,183.0,71.0,Heidenheim,Bundesliga,1,0,1,1
1774,Noussair Mazraoui,26.0,Right,183.0,73.0,Manchester Utd,Premier League,1,0,1,1
1775,Nuha Jatta,18.0,,,,RB Leipzig,Bundesliga,1,0,1,0
1776,Nuno Mendes,22.0,Left,176.0,69.0,Paris S-G,Ligue 1,1,0,1,1
1777,Nuno Tavares,24.0,Left,184.0,78.0,Lazio,Serie A,1,0,1,1
1778,Nélson Semedo,30.0,Right,177.0,64.0,Wolverhampton Wanderers,PL2,6,0,1,1
1779,Obite N'Dicka,25.0,Left,190.0,87.0,Roma,Serie A,1,0,0,1
1780,Odeluga Offiah,21.0,Right,181.0,77.0,Brighton,PL2,6,0,0,1
1781,Odilon Kossonou,23.0,Right,188.0,72.0,Leverkusen,Bundesliga,1,0,0,1
1782,Odsonne Édouard,26.0,Right,187.0,83.0,Crystal Palace,Premier League,1,1,0,0
1783,Ohis Felix Uduokhai,27.0,Left,188.0,78.0,Beşiktaş,Süper Lig,1,0,0,1
1784,Oier Zarraga,25.0,Right,175.0,74.0,Udinese,Serie A,1,0,1,0
1785,Oihan Sancet,24.0,Right,188.0,78.0,Athletic Club,La Liga,1,1,1,0
1786,Ola Aina,27.0,Right,179.0,66.0,Nott'ham Forest,Premier League,1,0,1,1
1787,Ola Solbakken,26.0,Left,186.0,77.0,Empoli,Serie A,1,1,0,0
1788,Olasagasti,24.0,,176.0,73.0,Real Sociedad,La Liga,1,0,1,0
1789,Ole Pohlmann,23.0,,,,Rio Ave,Primeira Liga,1,1,1,0
1790,Oleksandr Zinchenko,27.0,Left,175.0,60.0,Arsenal,Premier League,1,0,1,1
1791,Oliver Arblaster,20.0,,,,Sheffield Utd,Championship,2,0,1,0
1792,Oliver Burke,27.0,Right,189.0,74.0,Werder Bremen,Bundesliga,1,1,1,0
1793,Oliver McBurnie,28.0,Right,188.0,66.0,Las Palmas,La Liga,1,1,0,0
1794,Oliver Norwood,33.0,Right,180.0,74.0,Stockport,League One,3,0,1,0
1795,Oliver Scarles,18.0,,,,West Ham United,PL2,6,0,0,1
1796,Oliver Skipp,23.0,Right,177.0,66.0,Leicester City,Premier League,1,0,1,0
1797,Oliver Zandén,23.0,Both,183.0,74.0,Randers,Danish Superliga,1,0,0,1
1798,Olivier Deman,24.0,Left,181.0,73.0,Werder Bremen,Bundesliga,1,1,1,1
1799,Olivier Giroud,37.0,Left,192.0,87.0,LAFC,MLS,1,1,0,0
1800,Ollie Watkins,28.0,Right,180.0,69.0,Aston Villa,Premier League,1,1,1,0
1801,Oluwaseun Ogbemudia,18.0,,,,Union U19,U19 Bundesliga,6,0,0,1
1802,Omar Alderete,27.0,Left,188.0,77.0,Getafe,La Liga,1,0,0,1
1803,Omar Marmoush,25.0,Right,177.0,73.0,Eint Frankfurt,Bundesliga,1,1,1,0
1804,Omar Mascarell,31.0,Right,181.0,69.0,Mallorca,La Liga,1,0,1,0
1805,Omar Traoré,26.0,,184.0,,Heidenheim,Bundesliga,1,0,0,1
1806,Omari Forson,20.0,,,,Manchester Utd,Premier League,1,0,1,0
1807,Omari Kellyman,18.0,,,,Chelsea,PL2,6,0,1,0
1808,Omenuke Mfulu,30.0,Right,182.0,68.0,La Coruña,La Liga 2,2,0,1,1
1809,Ondrej Duda,29.0,Right,181.0,73.0,Hellas Verona,Serie A,1,1,1,0
1810,Orel Mangala,26.0,Right,178.0,78.0,Lyon,Ligue 1,1,0,1,0
1811,Oriol Romeu,32.0,Right,183.0,83.0,Girona,La Liga,1,0,1,0
1812,Oscar Bobb,21.0,Left,174.0,,Manchester City,Premier League,1,1,1,0
1813,Oscar Cortés,20.0,,,,Rangers,Premiership,1,0,1,0
1814,Oscar Estupiñan,27.0,Left,182.0,76.0,FC Juárez,Liga MX,2,1,1,0
1815,Oscar Vilhelmsson,20.0,Left,188.0,76.0,Darmstadt 98,2,2,1,0,0
1816,Oualid El Hajjam,33.0,Right,180.0,72.0,Le Havre,Ligue 1,1,0,0,1
1817,Oumar Diakité,20.0,,178.0,64.0,Reims,Ligue 1,1,1,0,0
1818,Ousmane Dembélé,27.0,Both,178.0,60.0,Paris S-G,Ligue 1,1,1,1,0
1819,Oussama El Azzouzi,23.0,Right,,,Bologna,Serie A,1,0,1,0
1820,Owen Beck,22.0,,177.0,58.0,Blackburn,Championship,2,0,0,1
1821,Owen Hesketh,21.0,,,,Kidderminster,National League,5,0,1,0
1822,Pablo Barrios,21.0,,181.0,,Atlético Madrid,La Liga,1,0,1,0
1823,Pablo Fornals,28.0,Right,178.0,67.0,Betis,La Liga,1,1,1,0
1824,Pablo Galdames Millán,27.0,Right,172.0,62.0,Vasco da Gama,Série A,1,0,1,0
1825,Pablo Ibáñez,25.0,,,,Osasuna,La Liga,1,0,1,0
1826,Pablo Maffeo,27.0,Right,173.0,68.0,Mallorca,La Liga,1,0,1,1
1827,Pablo Marí,31.0,Left,191.0,77.0,Monza,Serie A,1,0,0,1
1828,Pablo Pagis,21.0,Right,181.0,69.0,Lorient,Ligue 2,2,0,1,0
1829,Pablo Rosario,27.0,Right,188.0,73.0,Nice,Ligue 1,1,0,1,1
1830,Pablo Sarabia,32.0,Left,176.0,69.0,Wolves,Premier League,1,1,1,0
1831,Panos Katseris,23.0,Right,,,Lorient,Ligue 1,1,0,0,1
1832,Pantelis Hatzidiakos,27.0,Right,181.0,69.0,Cagliari,Serie A,1,0,1,1
1833,Pape Gueye,25.0,Left,187.0,64.0,Villarreal,La Liga,1,0,1,0
1834,Pape Matar Sarr,21.0,Right,180.0,68.0,Tottenham Hotspur,Premier League,1,0,1,0
1835,Papu Gómez,,Right,165.0,68.0,Monza,Serie A,1,1,1,0
1836,Pascal Groß,33.0,Right,181.0,72.0,Dortmund,Bundesliga,1,1,1,1
1837,Pascal Stenzel,28.0,Right,183.0,72.0,Stuttgart,Bundesliga,1,0,1,1
1838,Pascu,21.0,,,,Eibar,La Liga 2,2,1,0,0
1839,Patric,31.0,Right,184.0,72.0,Lazio,Serie A,1,0,0,1
1840,Patric Pfeiffer,25.0,Both,196.0,91.0,Augsburg,Bundesliga,1,0,0,1
1841,Patrick Ciurria,29.0,Left,178.0,67.0,Monza,Serie A,1,1,1,1
1842,Patrick Dorgu,19.0,Left,,,Lecce,Serie A,1,0,0,1
1843,Patrick Herrmann,,Right,177.0,60.0,Gladbach,Bundesliga,1,1,1,0
1844,Patrick Mainka,29.0,Right,192.0,89.0,Heidenheim,Bundesliga,1,0,1,1
1845,Patrick Osterhage,24.0,Left,186.0,76.0,Freiburg,Bundesliga,1,0,1,0
1846,Patrick Wimmer,23.0,Right,182.0,76.0,Wolfsburg,Bundesliga,1,1,1,0
1847,Patrik Schick,28.0,Left,186.0,73.0,Leverkusen,Bundesliga,1,1,0,0
1848,Pau Cubarsí,17.0,Right,181.0,,Barcelona,La Liga,1,0,0,1
1849,Pau Torres,27.0,Left,191.0,84.0,Aston Villa,Premier League,1,0,0,1
1850,Paul Akouokou,26.0,Right,190.0,83.0,Lyon,Ligue 1,1,0,1,0
1851,Paul Dummett,,Left,185.0,64.0,Newcastle Utd,Premier League,1,0,0,1
1852,Paul Jaeckel,26.0,Right,188.0,79.0,Braunschweig,2,2,0,0,1
1853,Paul Pogba,,Right,191.0,83.0,Juventus,Serie A,1,0,1,0
1854,Paulo Azzi,30.0,Both,188.0,,Cagliari,Serie A,1,1,0,1
1855,Paulo Dybala,30.0,Left,175.0,73.0,Roma,Serie A,1,1,1,0
1856,Pavel Kadeřábek,32.0,Right,182.0,78.0,Hoffenheim,Bundesliga,1,1,1,1
1857,Paweł Dawidowicz,29.0,Right,188.0,79.0,Hellas Verona,Serie A,1,0,1,1
1858,Paxten Aaronson,21.0,Right,168.0,63.0,Utrecht,Eredivisie,1,0,1,0
1859,Pedri,21.0,Right,174.0,63.0,Barcelona,La Liga,1,1,1,0
1860,Pedro,37.0,Right,167.0,62.0,Lazio,Serie A,1,1,1,0
