,Name,age,footed,height,weight,current_club,League,Tier,FW,MF,DF
1097,Jonathan Norbye,17.0,,,,Leipzig U19,U19 Bundesliga,6,0,0,1
1098,Jonathan Tah,28.0,Right,193.0,97.0,Leverkusen,Bundesliga,1,0,0,1
1099,Jonathan Viera,34.0,Right,170.0,63.0,Almería,La Liga,1,1,1,0
1100,Jonny Castro,30.0,Right,175.0,69.0,PAOK,Super League,1,0,1,1
1101,Jonny Evans,36.0,Right,188.0,77.0,Manchester Utd,Premier League,1,0,0,1
1102,Jordan Amavi,30.0,Left,176.0,69.0,Brest,Ligue 1,1,0,0,1
1103,Jordan Ayew,32.0,Right,182.0,81.0,Leicester City,Premier League,1,1,1,0
1104,Jordan Beyer,24.0,Right,187.0,79.0,Burnley,Premier League,1,0,0,1
1105,Jordan Clark,30.0,Right,183.0,76.0,Luton Town,Championship,2,0,1,0
1106,Jordan Ferri,32.0,Right,172.0,69.0,Montpellier,Ligue 1,1,0,1,0
1107,Jordan Lotomba,25.0,Right,177.0,64.0,Nice,Ligue 1,1,0,1,1
1108,Jordan Pefok,28.0,Right,190.0,89.0,Union Berlin,Bundesliga,1,1,0,0
1109,Jordan Veretout,31.0,Right,176.0,66.0,Marseille,Ligue 1,1,0,1,0
1110,Jordan Zemura,24.0,,173.0,68.0,Udinese,Serie A,1,0,0,1
1111,Jordi Mboula,25.0,Right,183.0,73.0,Gil Vicente FC,Primeira Liga,1,1,1,1
1112,Jordi Osei-Tutu,25.0,Right,176.0,69.0,Bolton,League One,3,0,1,1
1113,Jordy Makengo,23.0,,183.0,,Freiburg,Bundesliga,1,0,0,1
1114,Jorge Cuenca,24.0,Left,187.0,74.0,Villarreal,La Liga,1,0,0,1
1115,Jorge Herrando,23.0,Left,192.0,74.0,Osasuna,La Liga,1,0,0,1
1116,Jorge Meré,,Right,182.0,78.0,Cádiz,La Liga,1,0,0,1
1117,Jorge de Frutos,27.0,Right,173.0,69.0,Rayo Vallecano,La Liga,1,1,1,0
1118,Jorginho,32.0,Right,180.0,64.0,Arsenal,Premier League,1,0,1,0
1119,Joris Chotard,22.0,Right,178.0,68.0,Montpellier,Ligue 1,1,0,1,0
1120,Joseba Zaldúa,32.0,Right,176.0,73.0,Cádiz,La Liga 2,2,0,0,1
1121,Joselu,34.0,Right,192.0,81.0,Real Madrid,La Liga,1,1,0,0
1122,Joseph Aidoo,28.0,Right,184.0,79.0,Celta Vigo,La Liga,1,0,0,1
1123,Joseph Hodge,21.0,,177.0,76.0,Huddersfield,League One,3,0,1,0
1124,Joseph Nduquidi,19.0,Right,185.0,73.0,Metz,Ligue 2,2,0,1,0
1125,Joseph Okumu,27.0,,193.0,74.0,Reims,Ligue 1,1,0,0,1
1126,Josh Brownhill,28.0,Right,177.0,73.0,Burnley,Championship,2,0,1,0
1127,Josh Cullen,28.0,Right,180.0,74.0,Burnley,Championship,2,0,1,1
1128,Josh Dasilva,25.0,Left,175.0,68.0,Brentford,Premier League,1,0,1,0
1129,Josh Doig,22.0,Left,188.0,71.0,Sassuolo,Serie B,2,0,1,1
1130,Josh Duffus,19.0,,,,Brighton,PL2,6,0,1,0
1131,Josh Wilson-Esbrand,21.0,Left,176.0,64.0,Reims,Ligue 1,1,0,0,1
1132,Josha Vagnoman,23.0,Right,187.0,86.0,Stuttgart,Bundesliga,1,0,1,1
1133,Joshua Brooking,,,,,Chelsea,PL2,6,0,0,1
1134,Joshua Kimmich,29.0,Right,176.0,69.0,Bayern Munich,Bundesliga,1,0,1,1
1135,Joshua Quarshie,20.0,,196.0,91.0,Düsseldorf,2,2,0,1,0
1136,Joshua Zirkzee,23.0,Right,193.0,83.0,Manchester Utd,Premier League,1,1,0,0
1137,Josip Brekalo,26.0,Right,180.0,72.0,Fiorentina,Serie A,1,1,1,0
1138,Josip Juranović,29.0,Right,175.0,68.0,Union Berlin,Bundesliga,1,0,1,1
1139,Josip Stanišić,24.0,Right,186.0,73.0,Leverkusen,Bundesliga,1,0,0,1
1140,Josuha Guilavogui,,Right,188.0,83.0,Mainz 05,Bundesliga,1,0,1,1
1141,Josué Casimir,22.0,Right,178.0,,Le Havre,Ligue 1,1,1,0,0
1142,José Arnaiz,29.0,Right,172.0,69.0,Osasuna,La Liga,1,1,1,0
1143,José Callejón,,Right,178.0,73.0,Granada,La Liga,1,1,1,0
1144,José Campaña,31.0,Right,179.0,73.0,Las Palmas,La Liga,1,0,1,0
1145,José Luis García Vayá,26.0,Right,186.0,79.0,Valencia,La Liga,1,0,1,0
1146,José Luis Gayà,29.0,Left,172.0,63.0,Valencia,La Liga,1,0,1,1
1147,José Luis Morales,37.0,Right,180.0,69.0,Levante,La Liga 2,2,1,1,0
1148,José Luis Palomino,34.0,Left,188.0,87.0,Cagliari,Serie A,1,0,0,1
1149,José Mari,36.0,Right,180.0,59.0,Cádiz,La Liga,1,0,1,0
1150,José María Giménez,29.0,Right,185.0,76.0,Atlético Madrid,La Liga,1,0,0,1
1151,José Pozo,,Right,170.0,62.0,Rayo Vallecano,La Liga,1,1,1,0
1152,Jovan Milošević,19.0,,,,St. Gallen,Super Lg,1,0,1,0
1153,Jovane Cabral,26.0,Right,176.0,71.0,Salernitana,Serie A,1,1,1,0
1154,João Cancelo,30.0,Right,182.0,66.0,Barcelona,La Liga,1,0,1,1
1155,João Ferreira,23.0,,185.0,,Udinese,Serie A,1,0,0,1
1156,João Félix,24.0,Right,180.0,63.0,Chelsea,Premier League,1,1,1,0
1157,João Gomes,23.0,Right,176.0,73.0,Wolves,Premier League,1,0,1,0
1158,João Palhinha,29.0,Right,190.0,77.0,Bayern Munich,Bundesliga,1,0,1,0
1159,João Pedro,22.0,Right,182.0,69.0,Brighton,Premier League,1,1,1,0
1160,Joël Matip,,Right,195.0,89.0,Liverpool,Premier League,1,0,1,1
1161,Joël Veltman,32.0,Right,182.0,74.0,Brighton,Premier League,1,0,0,1
1162,Joško Gvardiol,22.0,Left,185.0,82.0,Manchester City,Premier League,1,0,0,1
1163,Juan Brandáriz,25.0,,185.0,69.0,Almería,La Liga 2,2,0,0,1
1164,Juan Cruz,24.0,,179.0,72.0,Leganés,La Liga,1,1,0,0
1165,Juan Cruz Armada,32.0,Left,182.0,77.0,Osasuna,La Liga,1,0,0,1
1166,Juan Cuadrado,36.0,Right,178.0,71.0,Inter,Serie A,1,1,1,1
1167,Juan David Cabal,23.0,,186.0,78.0,Juventus,Serie A,1,0,0,1
1168,Juan Foyth,26.0,Right,190.0,77.0,Villarreal,La Liga,1,0,0,1
1169,Juan Jesus,33.0,Left,185.0,83.0,Napoli,Serie A,1,0,0,1
1170,Juan Miranda,24.0,Left,185.0,78.0,Bologna,Serie A,1,0,0,1
1171,Juanlu Sánchez,21.0,Right,186.0,68.0,Sevilla,La Liga,1,0,1,1
1172,Juanmi,31.0,Right,169.0,63.0,Betis,La Liga,1,1,1,0
1173,Juanmi Latasa,23.0,,191.0,79.0,Valladolid,La Liga,1,1,0,0
1174,Juanpe,33.0,Right,191.0,79.0,Girona,La Liga,1,0,0,1
1175,Jude Bellingham,21.0,Right,186.0,74.0,Real Madrid,La Liga,1,0,1,0
1176,Jules Koundé,25.0,Right,178.0,69.0,Barcelona,La Liga,1,0,0,1
1177,Julian Araujo,23.0,Right,177.0,72.0,Bournemouth,Premier League,1,0,0,1
1178,Julian Brandt,28.0,Right,185.0,82.0,Dortmund,Bundesliga,1,1,1,0
1179,Julian Chabot,26.0,Left,194.0,89.0,Stuttgart,Bundesliga,1,0,0,1
1180,Julian Justvan,26.0,Left,177.0,73.0,Nürnberg,2,2,0,1,1
1181,Julian Ryerson,26.0,Right,183.0,83.0,Dortmund,Bundesliga,1,0,1,1
